# UV coordinates (u, v)
514: (3.0, 681.4300493742021)
515: (3.0, 627.7152560806874)
516: (2.75, 681.4300493742021)
517: (3.0, 627.7152560806874)
518: (2.769230769230769, 627.7152560806874)
519: (0.0, 681.4300493742021)
520: (0.25, 681.4300493742021)
521: (0.4615384615384617, 627.7152560806874)
522: (0.0, 681.4300493742021)
523: (0.4615384615384617, 627.7152560806874)
524: (0.23076923076923084, 627.7152560806874)
525: (0.0, 681.4300493742021)
526: (0.23076923076923084, 627.7152560806874)
527: (0.0, 627.7152560806874)
528: (0.2727272727272727, 735.1448426677166)
529: (0.5454545454545454, 735.1448426677166)
530: (0.75, 681.4300493742021)
531: (0.2727272727272727, 735.1448426677166)
532: (0.75, 681.4300493742021)
533: (0.5, 681.4300493742021)
534: (0.5454545454545454, 735.1448426677166)
535: (0.8181818181818181, 735.1448426677166)
536: (1.0, 681.4300493742021)
537: (0.5454545454545454, 735.1448426677166)
538: (1.0, 681.4300493742021)
539: (0.75, 681.4300493742021)
540: (0.8181818181818181, 735.1448426677166)
541: (1.0909090909090908, 735.1448426677166)
542: (1.25, 681.4300493742021)
543: (0.8181818181818181, 735.1448426677166)
544: (1.25, 681.4300493742021)
545: (1.0, 681.4300493742021)
546: (1.0909090909090908, 735.1448426677166)
547: (1.3636363636363638, 735.1448426677166)
548: (1.5, 681.4300493742021)
549: (1.0909090909090908, 735.1448426677166)
550: (1.5, 681.4300493742021)
551: (1.25, 681.4300493742021)
552: (1.3636363636363638, 735.1448426677166)
553: (1.6363636363636362, 735.1448426677166)
554: (1.7499999999999998, 681.4300493742021)
555: (1.3636363636363638, 735.1448426677166)
556: (1.7499999999999998, 681.4300493742021)
557: (1.5, 681.4300493742021)
558: (1.6363636363636362, 735.1448426677166)
559: (1.9090909090909092, 735.1448426677166)
560: (2.0, 681.4300493742021)
561: (1.6363636363636362, 735.1448426677166)
562: (2.0, 681.4300493742021)
563: (1.7499999999999998, 681.4300493742021)
564: (1.9090909090909092, 735.1448426677166)
565: (2.1818181818181817, 735.1448426677166)
566: (2.25, 681.4300493742021)
567: (1.9090909090909092, 735.1448426677166)
568: (2.25, 681.4300493742021)
569: (2.0, 681.4300493742021)
570: (2.1818181818181817, 735.1448426677166)
571: (2.4545454545454546, 735.1448426677166)
572: (2.5, 681.4300493742021)
573: (2.1818181818181817, 735.1448426677166)
574: (2.5, 681.4300493742021)
575: (2.25, 681.4300493742021)
576: (2.4545454545454546, 735.1448426677166)
577: (2.7272727272727275, 735.1448426677166)
578: (2.75, 681.4300493742021)
579: (2.4545454545454546, 735.1448426677166)
580: (2.75, 681.4300493742021)
581: (2.5, 681.4300493742021)
582: (2.7272727272727275, 735.1448426677166)
583: (3.0, 735.1448426677166)
584: (3.0, 681.4300493742021)
585: (2.7272727272727275, 735.1448426677166)
586: (3.0, 681.4300493742021)
587: (2.75, 681.4300493742021)
588: (0.0, 735.1448426677166)
589: (0.2727272727272725, 735.1448426677166)
590: (0.5, 681.4300493742021)
591: (0.0, 735.1448426677166)
592: (0.5, 681.4300493742021)
593: (0.25, 681.4300493742021)
594: (0.0, 735.1448426677166)
595: (0.25, 681.4300493742021)
596: (0.0, 681.4300493742021)
597: (0.30000000000000004, 788.7251806983055)
598: (0.6000000000000001, 788.7251806983055)
599: (0.8181818181818181, 735.1448426677166)
600: (0.30000000000000004, 788.7251806983055)
601: (0.8181818181818181, 735.1448426677166)
602: (0.5454545454545454, 735.1448426677166)
603: (0.6000000000000001, 788.7251806983055)
604: (0.9000000000000001, 788.7251806983055)
605: (1.0909090909090908, 735.1448426677166)
606: (0.6000000000000001, 788.7251806983055)
607: (1.0909090909090908, 735.1448426677166)
608: (0.8181818181818181, 735.1448426677166)
609: (0.9000000000000001, 788.7251806983055)
610: (1.2000000000000002, 788.7251806983055)
611: (1.3636363636363638, 735.1448426677166)
612: (0.9000000000000001, 788.7251806983055)
613: (1.3636363636363638, 735.1448426677166)
614: (1.0909090909090908, 735.1448426677166)
615: (1.2000000000000002, 788.7251806983055)
616: (1.5, 788.7251806983055)
617: (1.6363636363636362, 735.1448426677166)
618: (1.2000000000000002, 788.7251806983055)
619: (1.6363636363636362, 735.1448426677166)
620: (1.3636363636363638, 735.1448426677166)
621: (1.5, 788.7251806983055)
622: (1.8000000000000003, 788.7251806983055)
623: (1.9090909090909092, 735.1448426677166)
624: (1.5, 788.7251806983055)
625: (1.9090909090909092, 735.1448426677166)
626: (1.6363636363636362, 735.1448426677166)
627: (1.8000000000000003, 788.7251806983055)
628: (2.1, 788.7251806983055)
629: (2.1818181818181817, 735.1448426677166)
630: (1.8000000000000003, 788.7251806983055)
631: (2.1818181818181817, 735.1448426677166)
632: (1.9090909090909092, 735.1448426677166)
633: (2.1, 788.7251806983055)
634: (2.4000000000000004, 788.7251806983055)
635: (2.4545454545454546, 735.1448426677166)
636: (2.1, 788.7251806983055)
637: (2.4545454545454546, 735.1448426677166)
638: (2.1818181818181817, 735.1448426677166)
639: (2.4000000000000004, 788.7251806983055)
640: (2.7, 788.7251806983055)
641: (2.7272727272727275, 735.1448426677166)
642: (2.4000000000000004, 788.7251806983055)
643: (2.7272727272727275, 735.1448426677166)
644: (2.4545454545454546, 735.1448426677166)
645: (2.7, 788.7251806983055)
646: (3.0, 788.7251806983055)
647: (3.0, 735.1448426677166)
648: (2.7, 788.7251806983055)
649: (3.0, 735.1448426677166)
650: (2.7272727272727275, 735.1448426677166)
651: (0.0, 788.7251806983055)
652: (0.2999999999999998, 788.7251806983055)
653: (0.545454545454545, 735.1448426677166)
654: (0.0, 788.7251806983055)
655: (0.545454545454545, 735.1448426677166)
656: (0.2727272727272725, 735.1448426677166)
657: (0.0, 788.7251806983055)
658: (0.2727272727272725, 735.1448426677166)
659: (-4.440892098500626e-16, 735.1448426677166)
660: (0.3333333333333333, 842.3055187288944)
661: (0.6666666666666666, 842.3055187288944)
662: (0.9000000000000001, 788.7251806983055)
663: (0.3333333333333333, 842.3055187288944)
664: (0.9000000000000001, 788.7251806983055)
665: (0.6000000000000001, 788.7251806983055)
666: (0.6666666666666666, 842.3055187288944)
667: (1.0, 842.3055187288944)
668: (1.2000000000000002, 788.7251806983055)
669: (0.6666666666666666, 842.3055187288944)
670: (1.2000000000000002, 788.7251806983055)
671: (0.9000000000000001, 788.7251806983055)
672: (1.0, 842.3055187288944)
673: (1.3333333333333333, 842.3055187288944)
674: (1.5, 788.7251806983055)
675: (1.0, 842.3055187288944)
676: (1.5, 788.7251806983055)
677: (1.2000000000000002, 788.7251806983055)
678: (1.3333333333333333, 842.3055187288944)
679: (1.6666666666666667, 842.3055187288944)
680: (1.8000000000000003, 788.7251806983055)
681: (1.3333333333333333, 842.3055187288944)
682: (1.8000000000000003, 788.7251806983055)
683: (1.5, 788.7251806983055)
684: (1.6666666666666667, 842.3055187288944)
685: (2.0, 842.3055187288944)
686: (2.1, 788.7251806983055)
687: (1.6666666666666667, 842.3055187288944)
688: (2.1, 788.7251806983055)
689: (1.8000000000000003, 788.7251806983055)
690: (2.0, 842.3055187288944)
691: (2.333333333333333, 842.3055187288944)
692: (2.4000000000000004, 788.7251806983055)
693: (2.0, 842.3055187288944)
694: (2.4000000000000004, 788.7251806983055)
695: (2.1, 788.7251806983055)
696: (2.333333333333333, 842.3055187288944)
697: (2.6666666666666665, 842.3055187288944)
698: (2.7, 788.7251806983055)
699: (2.333333333333333, 842.3055187288944)
700: (2.7, 788.7251806983055)
701: (2.4000000000000004, 788.7251806983055)
702: (2.6666666666666665, 842.3055187288944)
703: (3.0, 842.3055187288944)
704: (3.0, 788.7251806983055)
705: (2.6666666666666665, 842.3055187288944)
706: (3.0, 788.7251806983055)
707: (2.7, 788.7251806983055)
708: (0.0, 842.3055187288944)
709: (0.3333333333333335, 842.3055187288944)
710: (0.5999999999999996, 788.7251806983055)
711: (0.0, 842.3055187288944)
712: (0.5999999999999996, 788.7251806983055)
713: (0.2999999999999998, 788.7251806983055)
714: (0.0, 842.3055187288944)
715: (0.2999999999999998, 788.7251806983055)
716: (0.0, 788.7251806983055)
717: (0.3333333333333333, 895.8858567594834)
718: (0.6666666666666666, 895.8858567594834)
719: (0.6666666666666666, 842.3055187288944)
720: (0.3333333333333333, 895.8858567594834)
721: (0.6666666666666666, 842.3055187288944)
722: (0.3333333333333333, 842.3055187288944)
723: (0.6666666666666666, 895.8858567594834)
724: (1.0, 895.8858567594834)
725: (1.0, 842.3055187288944)
726: (0.6666666666666666, 895.8858567594834)
727: (1.0, 842.3055187288944)
728: (0.6666666666666666, 842.3055187288944)
729: (1.0, 895.8858567594834)
730: (1.3333333333333333, 895.8858567594834)
731: (1.3333333333333333, 842.3055187288944)
732: (1.0, 895.8858567594834)
733: (1.3333333333333333, 842.3055187288944)
734: (1.0, 842.3055187288944)
735: (1.3333333333333333, 895.8858567594834)
