# Root UV coordinates (u, v)
414: (3.0, 6617.994388333856)
415: (2.571428571428571, 6617.994388333856)
416: (0.375, 4675.185024419118)
417: (0.75, 4675.185024419118)
418: (0.4285714285714284, 6617.994388333856)
419: (-4.440892098500626e-16, 6617.994388333856)
420: (0.0, 4675.185024419118)
421: (0.375, 4675.185024419118)
422: (-4.440892098500626e-16, 6617.994388333856)
423: (0.8117449009293668, 0.890915741234015)
424: (1.0, 0.5)
425: (0.5, 0.5)
426: (0.38873953302184283, 0.9874639560909118)
427: (0.8117449009293668, 0.890915741234015)
428: (0.5, 0.5)
429: (0.04951556604879048, 0.7169418695587791)
430: (0.38873953302184283, 0.9874639560909118)
431: (0.5, 0.5)
432: (0.04951556604879043, 0.28305813044122097)
433: (0.04951556604879048, 0.7169418695587791)
434: (0.5, 0.5)
435: (0.3887395330218427, 0.01253604390908819)
436: (0.04951556604879043, 0.28305813044122097)
437: (0.5, 0.5)
438: (0.8117449009293667, 0.10908425876598504)
439: (0.3887395330218427, 0.01253604390908819)
440: (0.5, 0.5)
441: (1.0, 0.5)
442: (0.8117449009293667, 0.10908425876598504)
443: (0.5, 0.5)
444: (0.5, 0.5)
445: (0.5, 0.5)
446: (0.5, 0.5)
447: (0.5, 0.5)
448: (0.5, 0.5)
449: (0.5, 0.5)
450: (0.5, 0.5)
451: (0.5, 0.5)
452: (0.5, 0.5)
453: (0.5, 0.5)
454: (0.5, 0.5)
455: (0.5, 0.5)
456: (0.5, 0.5)
457: (0.5, 0.5)
458: (0.5, 0.5)
459: (0.5, 0.5)
460: (0.5, 0.5)
461: (0.5, 0.5)
462: (0.5, 0.5)
463: (0.5, 0.5)
464: (0.5, 0.5)
465: (0.5, 0.5)
466: (0.5, 0.5)
467: (0.5, 0.5)
468: (0.5, 0.0)
469: (0.75, 0.0)
470: (0.5454545454545454, 25.53471601482421)
471: (0.2727272727272727, 25.53471601482421)
472: (0.75, 0.0)
473: (1.0, 0.0)
474: (0.8181818181818181, 25.53471601482421)
475: (0.5454545454545454, 25.53471601482421)
476: (1.0, 0.0)
477: (1.25, 0.0)
478: (1.0909090909090908, 25.53471601482421)
479: (0.8181818181818181, 25.53471601482421)
480: (1.25, 0.0)
481: (1.5, 0.0)
482: (1.3636363636363638, 25.53471601482421)
483: (1.0909090909090908, 25.53471601482421)
484: (1.5, 0.0)
485: (1.7499999999999998, 0.0)
486: (1.6363636363636362, 25.53471601482421)
487: (1.3636363636363638, 25.53471601482421)
488: (1.7499999999999998, 0.0)
489: (2.0, 0.0)
490: (1.9090909090909092, 25.53471601482421)
491: (1.6363636363636362, 25.53471601482421)
492: (2.0, 0.0)
493: (2.25, 0.0)
494: (2.1818181818181817, 25.53471601482421)
495: (1.9090909090909092, 25.53471601482421)
496: (2.25, 0.0)
497: (2.5, 0.0)
498: (2.4545454545454546, 25.53471601482421)
499: (2.1818181818181817, 25.53471601482421)
500: (2.5, 0.0)
501: (2.75, 0.0)
502: (2.7272727272727275, 25.53471601482421)
503: (2.4545454545454546, 25.53471601482421)
504: (2.75, 0.0)
505: (3.0, 0.0)
506: (3.0, 25.53471601482421)
507: (2.7272727272727275, 25.53471601482421)
508: (0.25, 0.0)
509: (0.5, 0.0)
510: (0.2727272727272725, 25.53471601482421)
511: (0.0, 25.53471601482421)
512: (0.0, 0.0)
513: (0.25, 0.0)
514: (0.0, 25.53471601482421)
515: (0.5454545454545454, 25.53471601482421)
516: (0.8181818181818181, 25.53471601482421)
517: (0.6000000000000001, 31.033147751514065)
518: (0.30000000000000004, 31.033147751514065)
519: (0.8181818181818181, 25.53471601482421)
520: (1.0909090909090908, 25.53471601482421)
521: (0.9000000000000001, 31.033147751514065)
522: (0.6000000000000001, 31.033147751514065)
523: (1.0909090909090908, 25.53471601482421)
524: (1.3636363636363638, 25.53471601482421)
525: (1.2000000000000002, 31.033147751514065)
526: (0.9000000000000001, 31.033147751514065)
527: (1.3636363636363638, 25.53471601482421)
528: (1.6363636363636362, 25.53471601482421)
529: (1.5, 31.033147751514065)
530: (1.2000000000000002, 31.033147751514065)
531: (1.6363636363636362, 25.53471601482421)
532: (1.9090909090909092, 25.53471601482421)
533: (1.8000000000000003, 31.033147751514065)
534: (1.5, 31.033147751514065)
535: (1.9090909090909092, 25.53471601482421)
536: (2.1818181818181817, 25.53471601482421)
537: (2.1, 31.033147751514065)
538: (1.8000000000000003, 31.033147751514065)
539: (2.1818181818181817, 25.53471601482421)
540: (2.4545454545454546, 25.53471601482421)
541: (2.4000000000000004, 31.033147751514065)
542: (2.1, 31.033147751514065)
543: (2.4545454545454546, 25.53471601482421)
544: (2.7272727272727275, 25.53471601482421)
545: (2.7, 31.033147751514065)
546: (2.4000000000000004, 31.033147751514065)
547: (2.7272727272727275, 25.53471601482421)
548: (3.0, 25.53471601482421)
549: (3.0, 31.033147751514065)
550: (2.7, 31.033147751514065)
551: (0.2727272727272725, 25.53471601482421)
552: (0.545454545454545, 25.53471601482421)
553: (0.2999999999999998, 31.033147751514065)
554: (0.0, 31.033147751514065)
555: (-4.440892098500626e-16, 25.53471601482421)
556: (0.2727272727272725, 25.53471601482421)
557: (0.0, 31.033147751514065)
558: (0.6000000000000001, 31.033147751514065)
559: (0.9000000000000001, 31.033147751514065)
560: (0.6666666666666666, 31.948529882601868)
561: (0.3333333333333333, 31.948529882601868)
562: (0.9000000000000001, 31.033147751514065)
563: (1.2000000000000002, 31.033147751514065)
564: (1.0, 31.948529882601868)
565: (0.6666666666666666, 31.948529882601868)
566: (1.2000000000000002, 31.033147751514065)
567: (1.5, 31.033147751514065)
568: (1.3333333333333333, 31.948529882601868)
569: (1.0, 31.948529882601868)
570: (1.5, 31.033147751514065)
571: (1.8000000000000003, 31.033147751514065)
572: (1.6666666666666667, 31.948529882601868)
573: (1.3333333333333333, 31.948529882601868)
574: (1.8000000000000003, 31.033147751514065)
575: (2.1, 31.033147751514065)
576: (2.0, 31.948529882601868)
577: (1.6666666666666667, 31.948529882601868)
578: (2.1, 31.033147751514065)
579: (2.4000000000000004, 31.033147751514065)
580: (2.333333333333333, 31.948529882601868)
581: (2.0, 31.948529882601868)
582: (2.4000000000000004, 31.033147751514065)
583: (2.7, 31.033147751514065)
584: (2.6666666666666665, 31.948529882601868)
585: (2.333333333333333, 31.948529882601868)
586: (2.7, 31.033147751514065)
587: (3.0, 31.033147751514065)
588: (3.0, 31.948529882601868)
589: (2.6666666666666665, 31.948529882601868)
590: (0.2999999999999998, 31.033147751514065)
591: (0.5999999999999996, 31.033147751514065)
592: (0.3333333333333335, 31.948529882601868)
593: (0.0, 31.948529882601868)
594: (0.0, 31.033147751514065)
595: (0.2999999999999998, 31.033147751514065)
596: (0.0, 31.948529882601868)
597: (0.6666666666666666, 31.948529882601868)
598: (1.0, 31.948529882601868)
599: (0.75, 36.72317817535873)
600: (0.375, 36.72317817535873)
601: (1.0, 31.948529882601868)
602: (1.3333333333333333, 31.948529882601868)
603: (1.125, 36.72317817535873)
604: (0.75, 36.72317817535873)
605: (1.3333333333333333, 31.948529882601868)
606: (1.6666666666666667, 31.948529882601868)
607: (1.5, 36.72317817535873)
608: (1.125, 36.72317817535873)
609: (1.6666666666666667, 31.948529882601868)
610: (2.0, 31.948529882601868)
611: (1.875, 36.72317817535873)
612: (1.5, 36.72317817535873)
613: (2.0, 31.948529882601868)
614: (2.333333333333333, 31.948529882601868)
615: (2.25, 36.72317817535873)
616: (1.875, 36.72317817535873)
617: (2.333333333333333, 31.948529882601868)
618: (2.6666666666666665, 31.948529882601868)
619: (2.625, 36.72317817535873)
620: (2.25, 36.72317817535873)
621: (2.6666666666666665, 31.948529882601868)
622: (3.0, 31.948529882601868)
623: (3.0, 36.72317817535873)
624: (2.625, 36.72317817535873)
625: (0.3333333333333335, 31.948529882601868)
626: (0.666666666666667, 31.948529882601868)
627: (0.375, 36.72317817535873)
628: (0.0, 36.72317817535873)
629: (0.0, 31.948529882601868)
630: (0.3333333333333335, 31.948529882601868)
631: (0.0, 36.72317817535873)
632: (0.75, 36.72317817535873)
633: (1.125, 36.72317817535873)
634: (0.8571428571428571, 41.49782646811559)
635: (0.42857142857142855, 41.49782646811559)
636: (1.125, 36.72317817535873)
637: (1.5, 36.72317817535873)
638: (1.2857142857142856, 41.49782646811559)
639: (0.8571428571428571, 41.49782646811559)
640: (1.5, 36.72317817535873)
641: (1.875, 36.72317817535873)
642: (1.7142857142857142, 41.49782646811559)
643: (1.2857142857142856, 41.49782646811559)
644: (1.875, 36.72317817535873)
645: (2.25, 36.72317817535873)
646: (2.1428571428571423, 41.49782646811559)
647: (1.7142857142857142, 41.49782646811559)
648: (2.25, 36.72317817535873)
649: (2.625, 36.72317817535873)
650: (2.571428571428571, 41.49782646811559)
651: (2.1428571428571423, 41.49782646811559)
652: (2.625, 36.72317817535873)
653: (3.0, 36.72317817535873)
654: (3.0, 41.49782646811559)
